ENTRY	SHORT DEF	LONGER DEF	FIRST OCCURRENCE	NUM OCCURRENCES	POS
"aequo aequare aequavi aequatus"	"aequō aequāre aequāvī aequātus"	"to make level, equalize"	"to make level, equalize"	"656"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#aequo"	"1270"
"aequoreus –a –um"	"aequoreus –a –um"	"of the sea, maritime"	"of the sea, maritime"	"81"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#aequoreus"	"6092"
"aetherius –a –um"	"aetherius –a –um"	"heavenly"	"pertaining to the upper air; ethereal, heavenly; airy (> aether)"	"86"	"4"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#aetherius"	"1859"
"affligo affligere afflixi afflictus"	"afflīgō affligere afflīxī afflīctus"	"to beat, strike, crush"	"to beat, strike, crush"	"986"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#affligo"	"2326"
"affundo affundere affudi affusum"	"affundo affundere affūdī affūsum"	"pour onto"	"to pour onto or into; sprinkle around; scatter onto; send to"	"19"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#affundo"	"5645"
"age agite"	"age agite"	"come on! Let's go!"	"onward! away! come on!"	"114"	"1"	"Interjection"	"Logeion"	"http://logeion.uchicago.edu/index.html#age"	"1994"
"agger aggeris m."	"agger aggeris m."	"mound, rampart"	"mound, rampart"	"682"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#agger"	"1503"
"ala alae f."	"āla ālae f."	"wing, armpit"	"wing, armpit"	" 795"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ala"	"1351"
"altaria –ium n."	"altāria –ium n."	"the upper part of an altar; a high altar"	"the upper part of an altar; a high altar; an altar (> altus)"	"34"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#altaria"	"2371"
"alternus –a –um"	"alternus –a –um"	"one after the other"	"one after the other; alternating; by turns, in succession; every second (> alter)"	"601"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#alternus"	"2288"
"amarus –a –um"	"amārus –a –um"	"bitter; harsh"	"bitter; harsh"	"59"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#amarus"	"1994"
"ambio ambire or -ii ambitum"	"ambiō ambīre or -iī ambītum"	"to go round, go about"	"to go round, go about; visit (in search of support), appeal to"	" 211"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ambio"	"8014"
"ambo ambae ambo"	"ambō ambae ambō"	"both"	"both"	"246"	"4"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#ambo"	"1115"
"amens amentis"	"āmēns āmentis"	"mad, insane"	"mad, insane"	" 256"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#amens"	"2477"
"amictus –us m."	"amictus –ūs m."	"veiling or draping of the person; an upper garment"	"a veiling or draping of the person; an upper garment, covering; cloak, mantle, veil (> amicio)"	"843"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#amictus"	"2780"
"amplector amplecti amplexus sum"	"amplector amplectī amplexus sum"	"to embrace"	"to embrace"	"571"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#amplector"	"1656"
"amplexus –us m."	"amplexus –ūs m."	"an embrace"	"an embrace (> amplector)"	"336"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#amplexus"	"3211"
"anguis anguis m. or f."	"anguis anguis m. or f."	"snake"	"snake"	"255"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#anguis"	"2249"
"animosus –a –um"	"animōsus –a –um"	"bold, spirited"	"bold, spirited"	"381"	"4"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#animosus"	"3501"
"annosus –a –um"	"annōsus –a –um"	"aged, old"	"full of years; aged, old; hoary (> annus)"	"29"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#annosus"	"6575"
"anxius –a –um"	"ānxius –a –um"	"troubled, disquieted"	"troubled or troubling, disquieting (> ango)"	"419"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#anxius"	"2477"
"apparo apparare apparavi apparatus"	"apparō apparāre apparāvī apparātus"	"to get ready"	"to get ready, prepare; resolve, be ready; with infin. (> ad and paro)"	" 799"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#apparo"	"4087"
"appello –ere –puli –pulsus"	"appellō –ere –pulī –pulsus"	"to drive to; bring"	"to drive to; bring, convey to; draw up to, moor on the shore (> ad and pello)"	"222"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#appello"	"1312"
"appeto appetere appetivi appetitus"	"appetō appetere appetīvī appetītus"	"to make for, grasp"	"to seek/grasp after, desire; assail; strive eagerly/long for; approach, near"	"303"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#appeto"	"1830"
"apto aptare aptavi aptatus"	"aptō aptāre aptāvī aptātus"	"to adapt to, prepare; fit together, join"	"to adapt to, prepare; fit together, join"	"127"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#apto"	"2326"
"arcesso or accerso arcessere arcessivi arcessitus"	"arcessō or accersō arcessere arcessīvī arcessītus"	"to fetch, summon"	"to send for, summon, indict; fetch, import; invite; invoke; bring on oneself"	" 317"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#arcesso"	"1447"
"arcus arcus m."	"arcus arcūs m."	"bow, arch"	"bow, arch"	"40"	"6"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#arcus"	"1193"
"ardesco –ere –arsi"	"ārdēscō –ere –ārsī"	"to begin to burn; (fig.)"	"to begin to burn; (fig.), burn; to increase, grow louder and louder (> ardeo)"	"141"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ardesco"	"3767"
"ardor ardoris m."	"ārdor ārdōris m."	"burning, heat, eagerness"	"burning, heat, eagerness"	"70"	"6"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ardor"	"1503"
"arista –ae f."	"arista –ae f."	"the beard of wheat"	"the beard of wheat; a head of wheat"	"886"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#arista"	"3913"
"armiger –eri m."	"armiger –erī m."	"an armor bearer"	"an armor bearer; armiger Iovis, the eagle as the bearer of the thunderbolts of Jupiter; Jove’s armor bearer (> arma and gero)"	"400"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#armiger"	"4475"
"armo armare armavi armatus"	"armō armāre armāvī armātus"	"to equip, arm"	"to equip, arm"	"159"	"5"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#armo"	"994"
"aro arare aravi aratus"	"arō arāre arāvī arātus"	"to plough"	"to plough"	"1017"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#aro"	"1892"
"arripio –ere –ui arreptum"	"arripiō –ere –uī arreptum"	"to snatch, seize"	"to snatch, seize"	"307"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#arripio"	"2371"
"artus artus m."	"artus artūs m."	"limb, leg"	"limb, leg"	"5"	"5"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#artus"	"778"
"assero asserere asserui assertum"	"asserō asserere asseruī assertum"	"to join, defend"	"to join; to claim (as free), lay claim to, appropriate, to protect, to defend,  to claim, assert"	"921"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#assero"	"5645"
"assiduus –a –um"	"assiduus –a –um"	"established, steady"	"established, steady"	"16"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#assiduus"	"1557"
"assumo (or adsumo) –sumere –sumpsi –sumptum"	"assūmō (or adsūmō) –sūmere –sūmpsī –sūmptum"	"to take in addition"	"to take besides, obtain in addition"	" 195"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#assumo"	"2554"
"astus –us m."	"astus –ūs m."	"cunning; abl. astu"	"cunning; abl. astu, with cunning, craftily"	"605"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#astus"	"6575"
"ater atra atrum"	"āter atra atrum"	"black"	"black, dark"	"632"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#ater"	"767"
"atrox"	"atrōx"	"terrible, crule"	"terrible, cruel"	"168"	"6"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#atrōx"	"1994"
"attollo attollere"	"attollō attollere"	"to raise up"	"to raise up, lift up"	" 494"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#attollo"	"1830"
"attono attonare attonui attonitus"	"attonō attonāre attonuī attonitus"	"to thunder at"	"to thunder at; p., attonitus, a, um, (fig.), stunned; agitated; amazed, astonished; afflicted, overwhelmed; spellbound, hushed (> ad and tono)"	"131"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#attono"	"2938"
"auriga –ae m."	"aurīga –ae m."	"charioteer"	"a charioteer; a groom"	" 513"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#auriga"	"3127"
"auro aurare"	"auro aurāre"	"to gild"	"to overlay with gold, to gild"	" 587"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#auro"	"5290"
"aurora aurorae f."	"aurōra aurōrae f."	"dawn, aurora"	"the dawn, morning; personified, Aurora, the goddess of the dawn, who precedes the horses of the sun–god; the east; the sun"	"635"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#aurora"	"1927"
"Auster –tri m."	"Auster –trī m."	"the southerly or south wind"	"the southerly or south wind; the south"	" 866"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#Auster"	"4957"
"avena –ae f."	"avēna –ae f."	"a straw"	"a straw; oats; an oaten pipe; a Pan–pipe or syrinx"	"883"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#avena"	"4957"
"avidus –a –um"	"avidus –a –um"	"greedy, keen"	"greedy, keen"	"379"	"4"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#avidus"	"1745"
"balteus –i"	"balteus –ī"	"belt"	"a belt"	" 630"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#balteus"	"3398"
"bellator –oris m."	"bellātor –ōris m."	"warrior"	"a warrior; adj., warlike (> bello)"	" 629"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#bellator"	"4957"
"bellatrix –icis f."	"bellātrīx –īcis f."	"female warrior; adj."	"a female warrior; adj., warring, a warlike heroine (> bello)"	"172"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#bellatrix"	"7186"
"bellicus –a –um"	"bellicus –a –um"	"of or pertaining to war"	"of or pertaining to war, war–, military"	" 394"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#bellicus"	"5645"
"bellipotens –entis"	"bellipotēns –entis"	"powerful in war"	"powerful in war; subst. m., the god of war (> bellum and potens)"	"532"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#bellipotens"	"9174"
"bello bellare bellavi bellatus"	"bellō bellāre bellāvī bellātus"	"to wage war"	"to wage war, carry on war, war"	"927"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#bello"	"2654"
"bidens –ntis"	"bidens –ntis"	"having two teeth; a sacrifical animal"	"having two teeth or two complete rows of teeth; subst., f. (sc. victima), an animal suitable for the altar; a sheep with two conspicuous teeth supplanting two of the milk-teeth; a sheep, 4.57"	"550"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#bidens"	"8014"
"bis"	"bis"	"twice"	"twice (in composition bi–)"	"148"	"12"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#bis"	"892"
"caelamen –inis "	"caelāmen –inis "	"a carving"	"a bass-relief"	" 630"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#caelamen"	"11140"
"caelo caelare caelavi caelatus"	"caelō caelāre caelāvī caelātus"	"to cut in relief; carve"	"to cut in relief; carve, engrave, chase, emboss (> caelum, a chisel)"	" 862"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#caelo"	"4475"
"caestus –us m."	"caestus –ūs m."	"gauntlet for boxing; thongs or straps loaded with lead"	"a gauntlet for boxing; thongs or straps loaded with lead, and bound round the hand and arm (> caedo)"	" 1011"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#caestus"	"4702"
"calceo calceare calceavi calceatum"	"calceō calceāre calceāvī calceātum"	"to furnish with shoes"	"to furnish with shoes, put on shoes, shoe"	"477"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#calceo"	"8014"
"calco calcare calcavi calcatus"	"calcō calcāre calcāvī calcātus"	"to put under the heel; trample upon; mix by trampling"	"to put under the heel; trample upon; mix by trampling (> calx)"	"402"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#calco"	"2938"
