ENTRY	SHORT DEF	LONGER DEF	FIRST OCCURRENCE	NUM OCCURRENCES	POS
"discerpo –ere –cerpsi –cerptus"	"discerpō –ere –cerpsī –cerptus"	"to pluck asunder"	"to pluck asunder, to tear in pieces; disperse (> dis– and carpo)"	" 417"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#discerpo"	"4702"
"discors –cordis"	"discors –cordis"	"disagreeing"	"disagreeing; hostile; opposing, contending (> dis– and cor)"	"7"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#discors"	"4475"
"discrimen discriminis n."	"discrīmen discriminis n."	"division, crisis, difference"	"division, crisis; distinction, difference"	" 686"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#discrimen"	"1379"
"discus –i m."	"discus –ī m."	"discus"	"discus"	" 1012"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#discus"	"5645"
"discutio –ere –cussi –cussus"	"discutiō –ere –cussī –cussus"	"to shake off"	"to shake off, strike off; disperse, dissipate, dispel (> dis– and quatio)"	"325"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#discutio"	"2654"
"disicio –ere –ieci –iectus"	"dīsiciō –ere –iēcī –iectus"	"to throw"	"to throw, cast asunder; overthrow, demolish; scatter, disperse; cleave (> dis– and iacio)"	"919"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#disicio"	"2065"
"disseco –are"	"dissecō –āre"	"to cut into pieces"	"to cut into pieces"	" 349"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#disseco"	"9174"
"dissilio –ire –ui"	"dissiliō –īre –uī"	"to spring apart; burst asunder; be rent asunder"	"to spring apart; burst asunder; be rent asunder; break in twain (> dis– and salio)"	" 305"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#dissilio"	"3398"
"disto distare distavi distatus"	"distō distāre distāvī distātus"	"to stand apart; be distant"	"to stand apart; be distant"	" 867"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#disto"	"2477"
"dis–sipo –sipare"	"dis–sipō –sipāre"	"to scatter, disperse"	"to spread abroad, scatter, disperse"	"452"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#dis–sipo"	"3127"
"diva –ae f."	"dīva –ae f."	"goddess"	"a goddess"	"1"	"4"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#diva"	"1951"
"diverbero diverberare ––– diverberatus"	"dīverberō dīverberāre ––– dīverberātus"	"to strike asunder"	"to strike asunder, cleave, cut"	" 499"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#diverbero"	"5290"
"divinus –a –um"	"dīvīnus –a –um"	"divine"	"divine, of a deity/god, godlike; sacred; divinely inspired, prophetic; natural"	" 859"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#divinus"	"994"
"divus (dius) –a –um"	"dīvus (dīus) –a –um"	"divine"	"divine; godlike; subst., divus, i, m., a god, freq.; the image of a god; diva, ae, f., a goddess"	"114"	"5"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#divus"	"958"
"dominus domini m."	"dominus dominī m."	"master"	"master, lord"	"1000"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#dominus"	"328"
"domo domare domui domitus"	"domō domāre domuī domitus"	"to subdue, dominate"	"to subdue, dominate"	" 858"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#domo"	"1698"
"ducenti –ae –a; ducentesimus –a –um"	"ducentī –ae –a; ducentēsimus –a –um"	"200; 200th"	"200; 200th"	" 221"	"1"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#ducenti"	"1892"
"ductor –oris m."	"ductor –ōris m."	"leader"	"a leader; captain, commande; prince, king (> duco)"	" 519"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ductor"	"2554"
"dummodo"	"dummodo"	"provided that"	"so long as , if so be that , provided that , if only (often with subj.)"	" 276"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#dummodo"	"3398"
"eburneus or eburnus –a –um"	"eburneus or eburnus –a –um"	"of ivory"	"of ivory; ivory; ivory–hilted (> ebur)"	"140"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#eburneus"	"3913"
"effero efferre extuli elatus"	"efferō efferre extulī ēlātus"	"to carry out or away"	"to carry out; bring out; carry out for burial; raise; transport (emotionally)"	" 118"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#effero"	"1089"
"effor –fatus sum"	"effor –fātus sum"	"to speak forth; speak"	"to speak forth; speak, say (> ex and for)"	" 54"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#effor"	"2371"
"emergo –gere –si –sum"	"ēmergō –gere –si –sum"	"to come out of the water, emerge"	"to come out of the water, emerge"	"126"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#emergo"	"3913"
"emetior –mensus sum"	"ēmētior –mēnsus sum"	"to measure out or off"	"to measure out or off; pass over, traverse"	"109"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#emetior"	"4957"
"emico emicare emicui emicatus"	"ēmicō ēmicāre ēmicuī ēmicātus"	"to leap, shine"	"to leap, spring forth; to dart, bound, or spring upward; run, rush, dart forward; shine"	"86"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#emico"	"3634"
"emineo –ere –ui"	"ēmineō –ēre –uī"	"to stand out"	"to stand out, project, rise up"	" 410"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#emineo"	"3025"
"eminus"	"ēminus"	"from afar"	"from afar, at a distance (> e and manus)"	"444"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#eminus"	"3501"
"emitto emittere emisi emissus"	"ēmittō ēmittere ēmīsī ēmīssus"	"to send out"	"#NAME?"	" 958"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#emitto"	"1394"
"en or em"	"ēn or em"	"look!"	"look! calling attention, or expressing surprise or indignation, lo! behold! see! there!"	"36"	"3"	"Interjection"	"Logeion"	"http://logeion.uchicago.edu/index.html#en"	"1719"
"ensis ensis m."	"ēnsis ēnsis m."	"sword"	"sword"	"74"	"24"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ensis"	"855"
"erigo erigere erexi erectus"	"ērigō ērigere ērēxī ērēctus"	"to set up, erect"	"to raise, erect, build, set up; rouse, excite, stimulate"	" 503"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#erigo"	"1576"
"esurio –ire –itum"	"ēsuriō –īre –ītum"	"to feel hunger; (metaph.) feel desire"	"to feel hunger; (metaph.) feel desire"	"490"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#esurio"	"4957"
"eurus –i m."	"eurus –ī m."	"the southeast wind"	"the southeast wind"	" 734"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#eurus"	"5645"
"evado evadere evasi evasus"	"ēvādō ēvādere ēvāsī ēvāsus"	"to go out, evade"	"to go out, evade"	" 713"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#evado"	"1330"
"evito –are –avi –atum"	"ēvītō –āre –āvī –ātum"	"to avoid, dodge"	"to avoid, dodge"	" 965"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#evito"	"4702"
"evolo evolare evolavi evolatus"	"ēvolō ēvolāre ēvolāvī ēvolātus"	"to fly away"	"to fly away"	" 860"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#evolo"	"3297"
"exacuo –acuere –acui –acutum"	"exacuō –acuere –acuī –acūtum"	"to sharpen"	"to make pointed; sharpen"	" 507"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exacuo"	"6575"
"exanimo exanimare exanimavi exanimatus"	"exanimō exanimāre exanimāvī exanimātus"	"to deprive of life; p."	"to deprive of life; p., exanimatus, a, um, without breath, breathless; disheartened; terrified (> ex and anima)"	" 732"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exanimo"	"1927"
"exanimus –a –um and exanimis –e"	"exanimus –a –um and exanimis –e"	"breathless, lifeless"	"breathless; lifeless, dead; slain; breathless with fear, terrified (> ex and anima)"	" 481"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#exanimus"	"2859"
"exardesco –ardescere –arsi –arsum"	"exardescō –ardescere –arsī –arsum"	"to catch fire, blaze up"	"to catch fire, blaze up"	" 58"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exardesco"	"4957"
"excedo excedere excessi excessus"	"excēdō excēdere excessī excessus"	"to go out/away"	"to pass, withdraw, exceed; go away/out/beyond; die"	" 24"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#excedo"	"1464"
"excido excidere excidi"	"excidō excidere excidī"	"to fall out, drop; perish; be forgotten"	"to fall out, drop; perish; be forgotten"	"70"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#excido"	"2554"
"excito excitare excitavi excitatus"	"excitō excitāre excitāvī excitātus"	"to stir up, arouse, put into motion"	"to wake up, stir up; cause; raise, erect; incite; excite, arouse"	"857"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#excito"	"911"
"exclamo exclamare exclamavi exclamatus"	"exclāmō exclāmāre exclāmāvī exclāmātus"	"to exclaim"	"to exclaim"	"557"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exclamo"	"1892"
"excutio excutere excussi excussum"	"excutiō excutere excussī excussum"	"to shake off"	"to shake off"	" 675"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#excutio"	"1270"
"excŭbĭtus –us m. "	"excŭbĭtus –ūs m. "	"a watching, keeping watch"	"a watching, keeping watch"	"683"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#excŭbĭtus"	"11140"
"exhaurio exhaurire exhausi exhaustum"	"exhauriō exhaurīre exhausī exhaustum"	"to drain, exhaust"	"to drain, exhaust"	" 759"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exhaurio"	"2220"
"exiguus –a –um"	"exiguus –a –um"	"small, little"	"small, little"	" 608"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#exiguus"	"1394"
"exitium existi(i) n."	"exitium existi(ī) n."	"destruction, ruin"	"destruction, ruin"	" 253"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#exitium"	"1447"
"exorior exoriri exortus sum"	"exorior exorīrī exortus sum"	"to rise up, proceed"	"to rise up, proceed"	" 741"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exorior"	"1951"
"exorno exornare"	"exōrnō exōrnāre"	"to equip"	"to fit out, equip, furnish, supply, provide"	"550"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exorno"	"4702"
"expedio expedire expedii/expedivi expeditus"	"expediō expedīre expediī/expedīvī expedītus"	"to set free; (impersonal) be useful"	"to set free, provide, be expedient; (impersonal) be profitable, be useful; solve, clear up (difficulties etc.)"	"727"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#expedio"	"1303"
"expendo –ere –pendi –pensus"	"expendō –ere –pendī –pēnsus"	"to weigh out; (fig.)"	"to weigh out; (fig.), pay; suffer; expiate"	" 657"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#expendo"	"3634"
"expugno expaugnare expugnavi expugnatus"	"expūgnō expaugnāre expūgnāvī expūgnātus"	"to assault, capture"	"to assault, storm; conquer, plunder, capture; accomplish; persuade"	" 260"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#expugno"	"1631"
"exquiro exquirere exquisivi exquisitus"	"exquīrō exquīrere exquīsīvī exquīsītus"	"to seek out"	"to seek out"	" 718"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exquiro"	"3501"
"exsanguis –e"	"exsanguis –e"	"without blood"	"without blood; lifeless; pale with terror, terrified"	"5"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#exsanguis"	"3767"
"exsequiae –arum f."	"exsequiae –ārum f."	"funeral rites"	"funeral rites"	" 1047"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#exsequiae"	"6092"
"exsisto –sistere –stiti"	"exsistō –sistere –stitī"	"to emerge, appear, be visible, be"	"to emerge, appear, be visible, be"	"414"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exsisto"	"1394"
"exspatior exspatiari"	"exspatior exspatiārī"	"to digress, to go out of the way"	"to wander from the course, go out of the way; to spread out, extend; to digress, expatiate"	" 915"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exspatior"	"9174"
"exstinguo exstinguere exstinxi exstinctus"	"exstinguō exstinguere exstinxī exstinctus"	"to extinguish"	"to put out, extinguish, quench; kill, destroy"	" 836"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exstinguo"	"1270"
"exstruo –ere –struxi –structus"	"exstruō –ere –strūxī –strūctus"	"to build up; erect; raise"	"to build up; erect; raise, spread; build; p., exstructus, a, um, raised by, reclining on. exstructum, i, n., an elevated seat or tribunal"	"402"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exstruo"	"1892"
"exsulto or exulto –are –avi –atus"	"exsultō or exultō –are –āvī –ātus"	"to be ecstatic, exult"	"to be ecstatic, run riot, exult"	" 838"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#exsulto"	"1994"
"extemplo"	"extemplō"	"immediately"	"immediately, forthwith"	" 631"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#extemplo"	"1951"
"extendo –ere –tendi –tentus or tensus"	"extendō –ere –tendī –tentus or tēnsus"	"to stretch forth; stretch"	"to stretch forth; stretch, extend; continue; magnify, advance"	"882"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#extendo"	"2220"
"externus –a –um"	"externus –a –um"	"outside, foreign, strange"	"outside, foreign, strange"	"35"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#externus"	"1994"
"fatidicus –a –um"	"fātidicus –a –um"	"prophetic"	"prophetic, soothsaying (> fatum and dico)"	"31"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#fatidicus"	"6092"
"fatigo fatigare fatigavi fatigatus"	"fatīgō fatīgāre fatīgāvī fatīgātus"	"to tire, wear out"	"to tire, wear out"	"926"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#fatigo"	"1927"
"faux faucis f."	"faux faucis f."	"mouth"	"the throat, gullet; pl. jaws, mouth"	" 728"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#faux"	"1830"
"favilla –ae f."	"favīlla –ae f."	"ashes"	"ashes, embers, cinders"	" 1062"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#favilla"	"4957"
"fera ferae f."	"fera ferae f."	"wild animal"	"wild animal"	"875"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#fera"	"1147"
"ferio ferire"	"feriō ferīre"	"to hit"	"to strike, hit"	"403"	"5"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ferio"	"1209"
"ferox ferocis"	"ferōx ferōcis"	"bold; wild"	"wild, bold; warlike; cruel; defiant, arrogant"	"175"	"10"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#ferox"	"1221"
"ferratus –a –um"	"ferrātus –a –um"	"covered with iron"	"furnished or covered with iron; iron; iron pointed, iron shod; iron spurred, armed with the spur (> ferrum)"	"761"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#ferratus"	"5290"
"ferreus –a –um"	"ferreus –a –um"	"made of iron"	"made of iron"	"292"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#ferreus"	"1698"
"ferveo fervere ferbui and fervo fervere fervi"	"ferveō fervēre ferbuī and fervō fervere fervī"	"to boil; (fig.)"	"to boil; (fig.), to blaze, be bright; flash; glow; stir, be alive, teeming; move, speed on; rage"	" 747"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ferveo"	"2603"
"fervidus –a –um"	"fervidus –a –um"	"intensely hot, blazing"	"intensely hot, blazing; seething"	" 777"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#fervidus"	"2189"
"fervor –oris m."	"fervor –ōris m."	"fury"	"fury (> ferveo)"	" 595"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#fervor"	"3398"
"festino festinare festinavi festinatus"	"festīnō festīnāre festīnāvī festīnātus"	"to hurry"	"to hurry, rush"	"227"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#festino"	"1892"
"festus –a –um"	"fēstus –a –um"	"sacred, festive"	"sacred, festive"	" 549"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#festus"	"3398"
"fetus fetus m."	"fētus fētūs m."	"bearing or breeding; the young; the new swarm"	"a bearing or breeding; the young; the new swarm; litter; of vegetable products, growth, sprig, shoot; fruit; product."	"148"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#fetus"	"1830"
"fido fidere fisus sum"	"fīdō fīdere fīsus sum"	"to trust, believe"	"to trust, believe"	" 712"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#fido"	"2249"
"fiducia fiduciae f."	"fīdūcia fīdūciae f."	"trust"	"trust"	"701"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#fiducia"	"2065"
"fidus –a –um"	"fīdus –a –um"	"faithful, trustworthy"	"faithful, trustworthy"	"176"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#fidus"	"1251"
"figo figere fixi fixus"	"fīgō fīgere fīxī fīxus"	"to fix, fasten"	"to fix, fasten, transfix, pierce"	" 42"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#figo"	"1136"
"firmo firmare firmavi firmatus"	"fīrmō fīrmāre fīrmāvī fīrmātus"	"to strengthen"	"to strengthen, harden; support; declare; prove, confirm, establish"	" 497"	"5"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#firmo"	"1542"
"firmus –a –um"	"fīrmus –a –um"	"firm, strong"	"firm/steady; substantial/solid/secure/safe; strong/robust/sturdy/stout/durable; loyal/staunch/true/constant; stable/mature; valid/convincing/well founded"	" 846"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#firmus"	"1576"
"flagro flagrare flagravi flagraturus"	"flagrō flagrāre flagrāvī flagrāturus"	"to burn"	"to burn"	" 394"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#flagro"	"2189"
"flebilis –e"	"flēbilis –e"	"worthy of tears, lamentable"	"worthy of tears, lamentable"	" 1056"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#flebilis"	"5290"
"flecto flectere flexi flexus"	"flectō flectere flēxī flexus"	"to bend"	"to bend, curve, bow; turn, curl; persuade, prevail on, soften"	" 1034"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#flecto"	"1002"
"fletus fletus m."	"flētus fletūs m."	"weeping"	"weeping, wiling, lamenting"	"18"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#fletus"	"2065"
"floreo florere florui"	"flōreō flōrēre flōruī"	"to bloom"	"to flourish, blossom, be prosperous; be in one's prime"	" 247"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#floreo"	"1596"
"fodio fodere fodi fossum"	"fodiō fodere fōdī fossum"	"to dig"	"to dig"	" 410"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#fodio"	"3501"
"foedo foedare foedavi foedatus"	"foedō foedāre foedāvī foedātus"	"to defile"	"to pollute, spoil, dishonor, defile"	"323"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#foedo"	"2780"
"foedus foederis n."	"foedus foederis n."	"contract, treaty"	"treaty, agreement, contract; league; alliance"	" 269"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#foedus"	"1063"
"formido formidinis f."	"formīdō formīdinis f."	"fear"	"fear"	" 928"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#formido"	"1447"
"fornax –acis f."	"fornāx –ācis f."	"furnace; forge"	"a furnace; forge"	"857"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#fornax"	"4087"
"fortiter fortius fortissime"	"fortiter fortius fortissime"	"bravely more bravely most bravely"	"bravely, more bravely, most bravely"	" 964"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#fortiter"	"1892"
"fossa –ae f."	"fossa –ae f."	"ditch"	"a ditch, trench (> fodio)"	" 792"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#fossa"	"1351"
"fraternus –a –um"	"frāternus –a –um"	"fraternal"	"of a brother, brotherly, fraternal"	" 968"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#fraternus"	"2938"
"fraus fraudis f."	"fraus fraudis f."	"fraud"	"fraud; trickery, deceit; imposition, offense, crime; delusion"	"527"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#fraus"	"1698"
"fremo fremere fremui"	"fremō fremere fremuī"	"to roar"	"to groan, roar"	" 289"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#fremo"	"1379"
"fretum freti n."	"fretum fretī n."	"straight, channel"	"straight, channel; (sing. or pl. by metonymy) the sea"	" 871"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#fretum"	"1859"
"frutex –icis m."	"frutex –icis m."	"a shrub, trunk"	"a shrub, bush; trunk"	" 709"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#frutex"	"6575"
"fulgeo fulgere fulsi"	"fulgeō fulgēre fulsī"	"to shine"	"to shine"	" 111"	"7"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#fulgeo"	"1673"
"fulgor –oris m. or fulgur –uris n."	"fulgor –ōris m. or fulgur –ūris n."	"lightning, flash, brightness"	"lightning, flash, brightness"	"598"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#fulgor"	"1771"
"fulvus –a –um"	"fulvus –a –um"	"reddish or tawny yellow"	"reddish or tawny yellow; yellow; tawny; brown; glowing, bright"	" 858"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#fulvus"	"2477"
"fumifer –era –erum"	"fūmifer –era –erum"	"smoky"	"smoke bearing; smoky"	"598"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#fumifer"	"8014"
"funereus –a –um"	"fūnereus –a –um"	"funereal"	"of a funeral; funeral (> funus)"	" 925"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#funereus"	"7186"
"funero –are"	"fūnerō –āre"	"carry out the burial of, bury; kill"	"carry out the burial of, bury; kill"	" 1005"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#funero"	"8014"
"funestus –a –um"	"fūnestus –a –um"	"deadly"	"deadly, fatal"	" 234"	"4"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#funestus"	"3398"
"furiae –arum f."	"furiae –ārum f."	"rage"	"rage, fury, madness, frenzy; vengeance; personif., Furiae, arum, the goddesses of vengeance, the Furies, Allecto, Megaera, and Tisiphone; the Avengers; for the Harpies (> furo)"	" 854"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#furiae"	"3297"
"furibundus –a –um"	"furibundus –a –um"	"raging, frenzied"	"filled with frenzy; raging, raving, wild, frantic (> furo)"	" 404"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#furibundus"	"5290"
"furo furere"	"furō furere"	"to rage, be mad"	"to rage, be mad"	" 424"	"4"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#furo"	"933"
"furtim"	"furtim"	"stealthily"	"stealthily"	"708"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#furtim"	"2654"
"galea geleae f."	"galea geleae f."	"helmet"	"helmet"	" 295"	"8"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#galea"	"1411"
"gemebundus –a –um"	"gemebundus –a –um"	"groaning"	"groaning, sighing"	" 349"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#gemebundus"	"11140"
"gemino geminare geminavi geminatum"	"geminō gemināre gemināvī geminātum"	"to double"	"to double; to join, unite"	" 494"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#gemino"	"5645"
"geminus –a –um"	"geminus –a –um"	"twin"	"twin"	" 177"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#geminus"	"1177"
"gemitus –us m."	"gemitus –ūs m."	"groaning; groan"	"a groaning; a groan; sigh; lamentation; cry; noise, roaring (> gemo)"	"30"	"5"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#gemitus"	"1312"
"gemo gemere gemui"	"gemō gemere gemuī"	"to groan, sigh"	"to groan, sigh"	" 305"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#gemo"	"1745"
"gener generi m."	"gener generī m."	"son–in–law"	"son–in–law"	"776"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#gener"	"1859"
"generosus –a –um"	"generōsus –a –um"	"noble–blooded"	"of high lineage, noble–blooded, generous, renowned, famed (> genus)"	" 238"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#generosus"	"3211"
"genetrix –icis f."	"genetrīx –īcis f."	"she who brings forth; mother"	"she who brings forth; mother (> gigno)"	" 88"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#genetrix"	"2718"
"genitor genitoris m."	"genitor genitōris m."	"father"	"father"	"107"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#genitor"	"1164"
"genu genus n."	"genū genūs n."	"knee"	"knee"	"19"	"4"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#genu"	"2065"
"germanus –a –um"	"germānus –a –um"	"having the same parents, true, real"	"having the same parents; true, real, honest-to-goodness"	"414"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#germanus"	"2371"
"germanus –i m."	"germānus –ī m."	"brother"	"brother"	" 273"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#germanus"	"7186"
"gracilis gracile"	"gracilis gracile"	"thin"	"thin"	"882"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#gracilis"	"2938"
"grandaevus –a –um"	"grandaevus –a –um"	"very aged"	"very aged; old, aged (> grandis and aevum)"	" 1043"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#grandaevus"	"5290"
"grates"	"grātēs"	"thanks"	"defect. (found only in nom. and acc. pl.), f. (grator), thanks; in a bad sense, return, reward"	"135"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#grātēs"	"4087"
